Name,Category,Wiki_Slug,X_Handle,Seed Votes,Induction Status,Image Slug
Lamine Yamal,Sports,Lamine_Yamal,Yamal19Official,0,Queue,lamine-yamal
Luke Littler,Sports,Luke_Littler,LukeTheNuke180,0,Queue,luke-littler
Paige Bueckers,Sports,Paige_Bueckers,paigebueckers1,0,Queue,paige-bueckers
Simone Biles,Sports,Simone_Biles,Simone_Biles,0,Queue,simone-biles
Travis Hunter,Sports,Travis_Hunter,TravisHunterJr,0,Queue,travis-hunter
Victor Wembanyama,Sports,Victor_Wembanyama,wemby,0,Queue,victor-wembanyama
Vinicius Jr,Sports,Vinicius_Júnior,vinijr,0,Queue,vinicius-jr
Central Cee,Music,Central_Cee,centralcee,0,Queue,central-cee
Doechii,Music,Doechii,officialdoechii,0,Queue,doechii
Gracie Abrams,Music,Gracie_Abrams,gracieabrams,0,Queue,gracie-abrams
Rosé,Music,Rosé_(singer),roses_are_rosi,0,Queue,rosé
Sabrina Carpenter,Music,Sabrina_Carpenter,SabrinaAnnLynn,0,Queue,sabrina-carpenter
Tate McRae,Music,Tate_McRae,tatemcrae,0,Queue,tate-mcrae
Teddy Swims,Music,Teddy_Swims,teddyswims,0,Queue,teddy-swims
Tyla,Music,Tyla,Tyllaaaaaaa,0,Queue,tyla
Barry Keoghan,Film & TV,Barry_Keoghan,BarryKeoghan,0,Queue,barry-keoghan
Cillian Murphy,Film & TV,Cillian_Murphy,,0,Queue,cillian-murphy
Florence Pugh,Film & TV,Florence_Pugh,Florence_Pugh,0,Queue,florence-pugh
Glen Powell,Film & TV,Glen_Powell,glenpowell,0,Queue,glen-powell
Jenna Ortega,Film & TV,Jenna_Ortega,,0,Queue,jenna-ortega
Kieran Culkin,Film & TV,Kieran_Culkin,,0,Queue,kieran-culkin
Pedro Pascal,Film & TV,Pedro_Pascal,,0,Queue,pedro-pascal
Sydney Sweeney,Film & TV,Sydney_Sweeney,,0,Queue,sydney-sweeney
Ninja,Gaming,Ninja_(gamer),Ninja,0,Queue,ninja
Valkyrae,Gaming,Valkyrae,Valkyrae,0,Queue,valkyrae
Adin Ross,Creator,Adin_Ross,AdinRoss,0,Queue,adin-ross
Alex Cooper,Creator,Alex_Cooper_(podcaster),alexandracooper,0,Queue,alex-cooper
Alix Earle,Lifestyle,Alix_Earle,alixearle_,0,Queue,alix-earle
Jasmine Crockett,Politics,Jasmine_Crockett,RepJasmine,0,Queue,jasmine-crockett
Zohran Mamdani,Politics,Zohran_Mamdani,ZohranKMamdani,0,Queue,zohran-mamdani
Jaafar Jackson,Music,Jaafar_Jackson,JaafarJackson,0,Queue,jaafar-jackson
Alex Warren,Music,Alex_Warren,alexwaarren,0,Queue,alex-warren
Arthur Mensch,Tech,Arthur_Mensch,arthurmensch,0,Queue,arthur-mensch
Lee Jae-myung,Politics,Lee_Jae-myung,Jaemyung_Lee,0,Queue,lee-jae-myung
Dana White,Sports,Dana_White,danawhite,0,Queue,dana-white
Shane Gillis,Comedy,Shane_Gillis,Shanemgillis,0,Queue,shane-gillis
Sam Harris,Creator,Sam_Harris,SamHarrisOrg,0,Queue,sam-harris
Andrej Karpathy,Tech,Andrej_Karpathy,karpathy,0,Queue,andrej-karpathy
Louis Theroux,Film & TV,Louis_Theroux,louistheroux,0,Queue,louis-theroux
Jason Calacanis,Tech,Jason_Calacanis,Jason,0,Queue,jason-calacanis
David Friedberg,Business,David_Friedberg,friedberg,0,Queue,david-friedberg
Andrew Ross Sorkin,Business,Andrew_Ross_Sorkin,andrewrsorkin,0,Queue,andrew-ross-sorkin
Mo Gawdat,Creator,Mo_Gawdat,mogawdat,0,Queue,mo-gawdat
Anya Taylor-Joy,Film & TV,Anya_Taylor-Joy,,0,Queue,anya-taylor-joy
Austin Butler,Film & TV,Austin_Butler,,0,Queue,austin-butler
Andrew Yang,Politics,Andrew_Yang,AndrewYang,0,Queue,andrew-yang
Martin Shkreli,Business,Martin_Shkreli,MartinShkreli,0,Queue,martin-shkreli
Andrew Huberman,Creator,Andrew_Huberman,hubermanlab,0,Queue,andrew-huberman
Patrick Bet-David,Creator,Patrick_Bet-David,patrickbetdavid,0,Queue,patrick-bet-david
Bill Maher,Film & TV,Bill_Maher,billmaher,0,Queue,bill-maher
Tony Robbins,Creator,Tony_Robbins,TonyRobbins,0,Queue,tony-robbins
Dan Bongino,Politics,Dan_Bongino,dbongino,0,Queue,dan-bongino
Pierre Poilievre,Politics,Pierre_Poilievre,PierrePoilievre,0,Queue,pierre-poilievre
Chris Williamson,Creator,Chris_Williamson_(TV_personality),ChrisWillx,0,Queue,chris-williamson
Eric Schmidt,Tech,Eric_Schmidt,ericschmidt,0,Queue,eric-schmidt
Jesse Watters,Politics,Jesse_Watters,JesseBWatters,0,Queue,jesse-watters
Sean Hannity,Politics,Sean_Hannity,seanhannity,0,Queue,sean-hannity
Steven Bartlett,Business,Steven_Bartlett,SteveBartlettSC,0,Queue,steven-bartlett
Mark Rutte,Politics,Mark_Rutte,markrutte,0,Queue,mark-rutte
Cathie Wood,Business,Cathie_Wood,CathieDWood,0,Queue,cathie-wood
Jocko Willink,Creator,Jocko_Willink,jockowillink,0,Queue,jocko-willink
David Goggins,Creator,David_Goggins,davidgoggins,0,Queue,david-goggins
Dave Chappelle,Film & TV,Dave_Chappelle,,0,Queue,dave-chappelle
Bradley Cooper,Film & TV,Bradley_Cooper,,0,Queue,bradley-cooper
Naval Ravikant,Tech,Naval_Ravikant,naval,0,Queue,naval-ravikant
Ricky Gervais,Film & TV,Ricky_Gervais,rickygervais,0,Queue,ricky-gervais
Megyn Kelly,Politics,Megyn_Kelly,megynkelly,0,Queue,megyn-kelly
Douglas Murray,Politics,Douglas_Murray_(author),DouglasKMurray,0,Queue,douglas-murray
Tristan Tate,Creator,Tristan_Tate,tristantate,0,Queue,tristan-tate
Russell Brand,Creator,Russell_Brand,rustyrockets,0,Queue,russell-brand
Denis Villeneuve,Film & TV,Denis_Villeneuve,,0,Queue,denis-villeneuve
Ben Shapiro,Politics,Ben_Shapiro,benshapiro,0,Queue,ben-shapiro
Candace Owens,Politics,Candace_Owens,RealCandaceO,0,Queue,candace-owens
Gad Saad,Creator,Gad_Saad,GadSaad,0,Queue,gad-saad
Matt Rife,Creator,Matt_Rife,mattrife,0,Queue,matt-rife
Tony Hinchcliffe,Creator,Tony_Hinchcliffe,TonyHinchcliffe,0,Queue,tony-hinchcliffe
Clavicular,Creator,Clavicular_(influencer),Clavicular0,0,Queue,clavicular
